22:56:17 --- INFO: epoch: 76, batch: 1, loss: 1.8454580307006836, modularity_loss: -0.044736843556165695, purity_loss: 1.0793430805206299, regularization_loss: 0.8108518123626709
22:56:18 --- INFO: epoch: 77, batch: 1, loss: 1.8447941541671753, modularity_loss: -0.04474185034632683, purity_loss: 1.0781517028808594, regularization_loss: 0.8113843202590942
22:56:19 --- INFO: epoch: 78, batch: 1, loss: 1.8441267013549805, modularity_loss: -0.04474332183599472, purity_loss: 1.0770527124404907, regularization_loss: 0.8118173480033875
22:56:19 --- INFO: epoch: 79, batch: 1, loss: 1.8434391021728516, modularity_loss: -0.04474145919084549, purity_loss: 1.0760289430618286, regularization_loss: 0.8121515512466431
22:56:20 --- INFO: epoch: 80, batch: 1, loss: 1.8427259922027588, modularity_loss: -0.044736720621585846, purity_loss: 1.0750718116760254, regularization_loss: 0.8123909831047058
22:56:21 --- INFO: epoch: 81, batch: 1, loss: 1.8419861793518066, modularity_loss: -0.04472944512963295, purity_loss: 1.07417631149292, regularization_loss: 0.8125393986701965
22:56:21 --- INFO: epoch: 82, batch: 1, loss: 1.8412201404571533, modularity_loss: -0.0447201244533062, purity_loss: 1.0733393430709839, regularization_loss: 0.8126009106636047
22:56:22 --- INFO: epoch: 83, batch: 1, loss: 1.8404295444488525, modularity_loss: -0.04470895603299141, purity_loss: 1.0725575685501099, regularization_loss: 0.8125810027122498
22:56:23 --- INFO: epoch: 84, batch: 1, loss: 1.8396186828613281, modularity_loss: -0.044696144759655, purity_loss: 1.0718265771865845, regularization_loss: 0.8124882578849792
22:56:23 --- INFO: epoch: 85, batch: 1, loss: 1.8387916088104248, modularity_loss: -0.04468204081058502, purity_loss: 1.0711432695388794, regularization_loss: 0.812330424785614
22:56:24 --- INFO: epoch: 86, batch: 1, loss: 1.8379576206207275, modularity_loss: -0.04466668516397476, purity_loss: 1.070509672164917, regularization_loss: 0.8121146559715271
22:56:24 --- INFO: epoch: 87, batch: 1, loss: 1.8371198177337646, modularity_loss: -0.04465026408433914, purity_loss: 1.0699199438095093, regularization_loss: 0.8118501901626587
22:56:25 --- INFO: epoch: 88, batch: 1, loss: 1.8362865447998047, modularity_loss: -0.0446329303085804, purity_loss: 1.0693719387054443, regularization_loss: 0.811547577381134
22:56:26 --- INFO: epoch: 89, batch: 1, loss: 1.8354626893997192, modularity_loss: -0.04461480304598808, purity_loss: 1.0688601732254028, regularization_loss: 0.8112173080444336
22:56:26 --- INFO: epoch: 90, batch: 1, loss: 1.8346542119979858, modularity_loss: -0.044596049934625626, purity_loss: 1.0683817863464355, regularization_loss: 0.810868501663208
22:56:27 --- INFO: epoch: 91, batch: 1, loss: 1.8338662385940552, modularity_loss: -0.04457714036107063, purity_loss: 1.067929744720459, regularization_loss: 0.8105136156082153
22:56:28 --- INFO: epoch: 92, batch: 1, loss: 1.8331003189086914, modularity_loss: -0.044558342546224594, purity_loss: 1.0674949884414673, regularization_loss: 0.8101637363433838
22:56:28 --- INFO: epoch: 93, batch: 1, loss: 1.8323564529418945, modularity_loss: -0.04454002529382706, purity_loss: 1.067067265510559, regularization_loss: 0.8098292946815491
22:56:29 --- INFO: epoch: 94, batch: 1, loss: 1.8316318988800049, modularity_loss: -0.04452266916632652, purity_loss: 1.0666346549987793, regularization_loss: 0.8095199465751648
22:56:29 --- INFO: epoch: 95, batch: 1, loss: 1.8309290409088135, modularity_loss: -0.04450683295726776, purity_loss: 1.0661901235580444, regularization_loss: 0.8092457056045532
22:56:30 --- INFO: epoch: 96, batch: 1, loss: 1.8302416801452637, modularity_loss: -0.04449272155761719, purity_loss: 1.0657223463058472, regularization_loss: 0.8090121150016785
22:56:31 --- INFO: epoch: 97, batch: 1, loss: 1.8295676708221436, modularity_loss: -0.04448094964027405, purity_loss: 1.0652223825454712, regularization_loss: 0.8088262677192688
22:56:31 --- INFO: epoch: 98, batch: 1, loss: 1.828904628753662, modularity_loss: -0.04447188228368759, purity_loss: 1.0646840333938599, regularization_loss: 0.8086925148963928
22:56:32 --- INFO: epoch: 99, batch: 1, loss: 1.8282480239868164, modularity_loss: -0.044465839862823486, purity_loss: 1.0640987157821655, regularization_loss: 0.8086151480674744
